model,metric,K,relative_error_mean,relative_error_std
attention_cnn_cnn_residual,effective_rank,32,0.8655205595499129,0.007975125554515445
attention_cnn_cnn_residual,effective_rank,64,0.7551378596137626,0.01062242547141326
attention_cnn_cnn_residual,effective_rank,128,0.6037520530499776,0.016719436283453064
attention_cnn_cnn_residual,effective_rank,256,0.4192129523483974,0.012314382421917871
attention_cnn_cnn_residual,effective_rank,512,0.25870127132775017,0.015933407259515642
attention_cnn_cnn_residual,effective_rank,1024,0.13519453951235372,0.010553863563169098
attention_cnn_cnn_residual,pca_top5_ratio,16,2.586908108056277,0.21471845719079125
attention_cnn_cnn_residual,pca_top5_ratio,32,1.5467747504706544,0.23380845906513473
attention_cnn_cnn_residual,pca_top5_ratio,64,0.7591198962930885,0.12232946725689436
attention_cnn_cnn_residual,pca_top5_ratio,128,0.4174911091518375,0.0916473481785268
attention_cnn_cnn_residual,pca_top5_ratio,256,0.18471287797540217,0.05010415080961917
attention_cnn_cnn_residual,pca_top5_ratio,512,0.09749146334745581,0.04293491063722608
attention_cnn_cnn_residual,pca_top5_ratio,1024,0.02908140736204399,0.01265405981694732
attention_cnn_cnn_residual,std_global,16,0.0015093162883826829,0.0011131357288979606
attention_cnn_cnn_residual,std_global,32,0.0011063741523598283,0.0009003528131898498
attention_cnn_cnn_residual,std_global,64,0.0016192995125499422,0.001041461381860062
attention_cnn_cnn_residual,std_global,128,0.0010365184149134087,0.0007487958406866782
attention_cnn_cnn_residual,std_global,256,0.00029302955883925877,0.00033041215838598324
attention_cnn_cnn_residual,std_global,512,0.0004094840467100901,0.0003290483924951576
attention_cnn_cnn_residual,std_global,1024,0.0002831107223329104,0.00016740248700003384
attention_cnn_cnn_residual,l2_mean,16,0.001508511609737773,0.001106436424533842
attention_cnn_cnn_residual,l2_mean,32,0.001111169945460558,0.0009002260421300182
attention_cnn_cnn_residual,l2_mean,64,0.0016100674674576667,0.0010380727302642164
